date,ticker,signal,score,entry_price,price_5d,price_10d,price_20d,return_5d,return_10d,return_20d
2026-04-14,AVGO,BUY (持有),52,379.75,402.65,,,+6.03%,,
2026-04-14,SNDK,BUY (持有),52,952.50,916.30,,,-3.80%,,
2026-04-15,AVGO,BUY (持有),52,379.75,402.65,,,+6.03%,,
2026-04-15,SNDK,BUY (持有),52,952.50,916.30,,,-3.80%,,
2026-04-16,AVGO,BUY (持有),52,379.75,396.31,,,+4.36%,,
2026-04-16,SNDK,BUY (持有),52,952.50,918.15,,,-3.61%,,
2026-04-17,AVGO,BUY (持有),52,379.75,,,,,,
2026-04-17,SNDK,BUY (持有),52,952.50,,,,,,
2026-04-20,AAPL,BUY (持有),59,273.15,,,,,,
2026-04-20,AMD,BUY (持有),58,281.23,,,,,,
2026-04-20,RKLB,BUY (持有),48,87.49,,,,,,
2026-04-21,CRWD,BUY (持有),56,452.80,,,,,,
2026-04-21,RKLB,BUY (持有),48,90.57,,,,,,
